question1_id,question2_id,snippet,question1,question2,relatedness_mean,relatedness_count,relatedness_list,relatedness_std
1565638102.f97d405b607c9aca212d884d340cb014.10.6,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.6,"Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own â€” have become realities through my work as a documentary photographer.",Do you want to live on the road?,Does her current job manifest her current desires?,0.875,8,"[2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",0.6408699444616557
1565638102.f97d405b607c9aca212d884d340cb014.10.6,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.6,"Years have passed, but many of the adventures I fantasized about as a child -- traveling and weaving my way between worlds other than my own â€” have become realities through my work as a documentary photographer.",Do you want to live on the road?,Where have you been as a documentary photographer?,0.5714285714285714,7,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",0.5345224838248488
1565638102.f97d405b607c9aca212d884d340cb014.10.9,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.10.9,"But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States. This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers,",Did she want to live like the hobos and travelers?,Does she have any regrets?,1.0,7,"[0.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0]",1.0
1565638102.f97d405b607c9aca212d884d340cb014.10.9,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.10.9,"But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States. This is the nomadic dream, a different kind of American dream lived by young hobos, travelers, hitchhikers,",Did she want to live like the hobos and travelers?,Have youe ever travelled as a hitchhiker?,1.4285714285714286,7,"[0.0, 3.0, 1.0, 1.0, 2.0, 1.0, 2.0]",0.9759000729485332
1565638102.f97d405b607c9aca212d884d340cb014.35.0,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.0,"When we think about mapping cities, we tend to think about roads and streets and buildings, and the settlement narrative that led to their creation,",Is there more to map?,What is it that we do not think about in regards to mapping cities?,1.8571428571428572,7,"[3.0, 2.0, 0.0, 2.0, 1.0, 2.0, 3.0]",1.0690449676496974
1565638102.f97d405b607c9aca212d884d340cb014.35.0,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.0,"When we think about mapping cities, we tend to think about roads and streets and buildings, and the settlement narrative that led to their creation,",Is there more to map?,What city are you speaking of?,0.8333333333333334,6,"[1.0, 2.0, 0.0, 0.0, 2.0, 0.0]",0.983192080250175
1565638102.f97d405b607c9aca212d884d340cb014.35.12,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.12,"(Laughter) Now, on the other side of the network, you tend to have primarily African-American and Latino folks who are really concerned about somewhat different things than the geeks are, but just to give some sense, the green part of the network we call Smalltimore, for those of us that inhabit it,",Is the city segregated?,Can this map version up to interpretation?,0.7142857142857143,7,"[0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 2.0, nan]",0.9511897312113419
1565638102.f97d405b607c9aca212d884d340cb014.35.12,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.12,"(Laughter) Now, on the other side of the network, you tend to have primarily African-American and Latino folks who are really concerned about somewhat different things than the geeks are, but just to give some sense, the green part of the network we call Smalltimore, for those of us that inhabit it,",Is the city segregated?,Why are African Americans and Latinos worries different than geeks?,1.375,8,"[0.0, 2.0, 3.0, 3.0, 0.0, 0.0, 0.0, 3.0]",1.5059406173077154
1565638102.f97d405b607c9aca212d884d340cb014.35.15,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.15,"We see the same people over and over again, but that's because we're not really exploring the full depth and breadth of the city.",Are people isolated?,Does this map also represent socio-economic status?,0.0,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
1565638102.f97d405b607c9aca212d884d340cb014.35.15,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.15,"We see the same people over and over again, but that's because we're not really exploring the full depth and breadth of the city.",Are people isolated?,Why do people not travel more?,0.6666666666666666,6,"[0.0, 2.0, 1.0, 0.0, 1.0, 0.0]",0.816496580927726
1565638102.f97d405b607c9aca212d884d340cb014.35.18,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.18,"On the other end of the network, you have folks who are interested in things like hip-hop music and they even identify with living in the DC/Maryland/Virginia area over, say, the Baltimore city designation proper.",Are they segregated by interests?,How is this data gathered?,0.7777777777777778,9,"[0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0]",0.8333333333333334
1565638102.f97d405b607c9aca212d884d340cb014.35.18,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.18,"On the other end of the network, you have folks who are interested in things like hip-hop music and they even identify with living in the DC/Maryland/Virginia area over, say, the Baltimore city designation proper.",Are they segregated by interests?,What makes peopel identify with a certain area more than another?,1.0,7,"[1.0, 0.0, 3.0, 1.0, 0.0, 0.0, 2.0]",1.1547005383792515
1565638102.f97d405b607c9aca212d884d340cb014.35.3,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.3,"When we think about mapping cities, we tend to think about roads and streets and buildings, and the settlement narrative that led to their creation, or you might think about the bold vision of an urban designer, but there's other ways to think about mapping cities and how they got to be made. Today, I want to show you a new kind of map.",What is the new map?,What is this new kind of map?,2.5,6,"[1.0, 3.0, 3.0, 3.0, 3.0, 2.0]",0.8366600265340756
1565638102.f97d405b607c9aca212d884d340cb014.35.3,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.3,"When we think about mapping cities, we tend to think about roads and streets and buildings, and the settlement narrative that led to their creation, or you might think about the bold vision of an urban designer, but there's other ways to think about mapping cities and how they got to be made. Today, I want to show you a new kind of map.",What is the new map?,What kind of map are we talking about?,2.8333333333333335,6,"[2.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.4082482904638631
1565638102.f97d405b607c9aca212d884d340cb014.35.6,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.6,"This is a map of the relationships between people in my hometown of Baltimore, Maryland, and what you can see here is that each dot represents a person,",How can you map people?,In what way does each dot represent a person?,1.7142857142857142,7,"[2.0, 1.0, 3.0, 2.0, 2.0, 0.0, 2.0]",0.9511897312113419
1565638102.f97d405b607c9aca212d884d340cb014.35.6,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.6,"This is a map of the relationships between people in my hometown of Baltimore, Maryland, and what you can see here is that each dot represents a person,",How can you map people?,How many people are in Baltimore?,0.7142857142857143,7,"[0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0]",0.9511897312113418
1565638102.f97d405b607c9aca212d884d340cb014.35.9,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.35.9,"Now, I'm here on the green side, down on the far right where the geeks are, and TEDx also is down on the far right.",How would it look?,Why is this version of a map necessary?,0.5,6,"[2.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.8366600265340756
1565638102.f97d405b607c9aca212d884d340cb014.35.9,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.35.9,"Now, I'm here on the green side, down on the far right where the geeks are, and TEDx also is down on the far right.",How would it look?,What is TEDx?,0.8333333333333334,6,"[1.0, 0.0, 0.0, 3.0, 1.0, 0.0]",1.1690451944500122
1565638102.f97d405b607c9aca212d884d340cb014.62.0,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.0,"Why do they hold the key? The answer, quite simply, is, they have the money. (Laughter) A lot of it.",What's an institutional investor?,What role do investors play in sustainability?,1.4285714285714286,7,"[2.0, 1.0, 2.0, 2.0, 2.0, 0.0, 1.0]",0.7867957924694432
1565638102.f97d405b607c9aca212d884d340cb014.62.0,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.0,"Why do they hold the key? The answer, quite simply, is, they have the money. (Laughter) A lot of it.",What's an institutional investor?,What do institutional investors do for money?,1.5714285714285714,7,"[1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0]",0.5345224838248488
1565638102.f97d405b607c9aca212d884d340cb014.62.12,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.12,"So we can reconsider some of these pressing challenges, like fresh water, clean air, feeding 10 billion mouths, if institutional investors integrated ESG into investment.",What's ESG?,is this goal the author proposes attainable?,0.2857142857142857,7,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.48795003647426666
1565638102.f97d405b607c9aca212d884d340cb014.62.12,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.12,"So we can reconsider some of these pressing challenges, like fresh water, clean air, feeding 10 billion mouths, if institutional investors integrated ESG into investment.",What's ESG?,What does ESG stand for?,2.7142857142857144,7,"[2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 3.0]",0.48795003647426655
1565638102.f97d405b607c9aca212d884d340cb014.62.15,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.15,"What if we work and save and invest, only to find that the world we retire into is more stressed and less secure than it is now?",Is the world in danger of these challenges?,How substantial would this impact be?,1.4285714285714286,7,"[1.0, 3.0, 0.0, 0.0, 2.0, 2.0, 2.0]",1.1338934190276817
1565638102.f97d405b607c9aca212d884d340cb014.62.15,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.15,"What if we work and save and invest, only to find that the world we retire into is more stressed and less secure than it is now?",Is the world in danger of these challenges?,What would cause the world to become less secure?,2.0,6,"[2.0, 3.0, 1.0, 1.0, 3.0, 2.0]",0.8944271909999159
1565638102.f97d405b607c9aca212d884d340cb014.62.18,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.18,"What if there isn't enough clean air and fresh water? Now a fair question might be, what if all this sustainability risk stuff is exaggerated, overstated, it's not urgent,",Is this risk actually overstated?,What is the author's rebuttal to the claim that the need for sustainability is exaggerated?,2.4,5,"[nan, 2.0, 3.0, 3.0, 3.0, 1.0]",0.8944271909999159
1565638102.f97d405b607c9aca212d884d340cb014.62.18,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.18,"What if there isn't enough clean air and fresh water? Now a fair question might be, what if all this sustainability risk stuff is exaggerated, overstated, it's not urgent,",Is this risk actually overstated?,Why would this risk be exaggerated?,2.0,7,"[1.0, 3.0, 3.0, 2.0, 1.0, 2.0, 2.0]",0.816496580927726
1565638102.f97d405b607c9aca212d884d340cb014.62.3,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.3,"(Laughter) A lot of it. I mean, a really lot of it. The global stock market is worth 55 trillion dollars.",Did they make the money in the stock market?,is the author implying that institutional investors are good or bad for sustainability?,1.0,6,"[1.0, 1.0, 1.0, 1.0, 2.0, 0.0]",0.6324555320336759
1565638102.f97d405b607c9aca212d884d340cb014.62.3,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.3,"(Laughter) A lot of it. I mean, a really lot of it. The global stock market is worth 55 trillion dollars.",Did they make the money in the stock market?,Why is the global stock market worth 55 trillion dollars?,1.6666666666666667,6,"[3.0, 3.0, 1.0, 2.0, 0.0, nan, 1.0]",1.2110601416389968
1565638102.f97d405b607c9aca212d884d340cb014.62.6,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.6,"I mean, a really lot of it. The global stock market is worth 55 trillion dollars. The global bond market, 78 trillion. That's 133 trillion combined.",What's a global bond market?,What is the author's opinion of this amount of money created by these global markets?,1.4285714285714286,7,"[1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0]",0.5345224838248488
1565638102.f97d405b607c9aca212d884d340cb014.62.6,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.6,"I mean, a really lot of it. The global stock market is worth 55 trillion dollars. The global bond market, 78 trillion. That's 133 trillion combined.",What's a global bond market?,Who has the most power over all of this money?,0.7142857142857143,7,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",0.4879500364742666
1565638102.f97d405b607c9aca212d884d340cb014.62.9,1565647887.f687d362a4d3bb14d61bd302f2dc9ca5.62.9,That's eight and a half times the GDP of the U.S. That's the world's largest economy. That's some serious freaking firepower.,Is the US the world's largest economy?,Is the author stating that institutional investors hinder sustainability?,0.3333333333333333,6,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, nan]",0.5163977794943223
1565638102.f97d405b607c9aca212d884d340cb014.62.9,1565716504.45a1544a5dd2ce8306f72bc7d27d42a8.62.9,That's eight and a half times the GDP of the U.S. That's the world's largest economy. That's some serious freaking firepower.,Is the US the world's largest economy?,What exactly does GDP stand for?,0.5,6,"[1.0, 1.0, 0.0, 0.0, nan, 1.0, 0.0]",0.5477225575051661
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.0,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.0,"I stand here thinking and wondering about all the different ways that we might even manufacture a near win in this room, how your lives might play this out, because I think on some gut level we do know this.",What would be a near win?,What do you know?,0.3333333333333333,6,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]",0.5163977794943223
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.0,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.0,"I stand here thinking and wondering about all the different ways that we might even manufacture a near win in this room, how your lives might play this out, because I think on some gut level we do know this.",What would be a near win?,what drives us to do more?,0.8333333333333334,6,"[1.0, 0.0, 0.0, 0.0, 2.0, 2.0]",0.983192080250175
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.0,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.0,"I stand here thinking and wondering about all the different ways that we might even manufacture a near win in this room, how your lives might play this out, because I think on some gut level we do know this.",What would be a near win?,What type of win?,2.142857142857143,7,"[3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0]",0.8997354108424375
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.0,1565800206.0862df22ab9f349e12cdff2e646fae89.147.0,"I stand here thinking and wondering about all the different ways that we might even manufacture a near win in this room, how your lives might play this out, because I think on some gut level we do know this.",What would be a near win?,What more is there to do?,1.0,7,"[2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0]",0.816496580927726
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.12,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.12,Masters are not experts because they take a subject to its conceptual end. They're masters because they realize that there isn't one.,Why isn't their a conceptual end?,What comes afterward?,1.0,6,"[2.0, 2.0, 1.0, 0.0, 0.0, nan, 1.0]",0.8944271909999159
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.12,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.12,Masters are not experts because they take a subject to its conceptual end. They're masters because they realize that there isn't one.,Why isn't their a conceptual end?,How do they work towards the end?,1.3333333333333333,6,"[3.0, 2.0, 1.0, 0.0, 0.0, 2.0]",1.2110601416389966
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.12,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.12,Masters are not experts because they take a subject to its conceptual end. They're masters because they realize that there isn't one.,Why isn't their a conceptual end?,What is a master?,0.3333333333333333,6,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.5163977794943223
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.12,1565800206.0862df22ab9f349e12cdff2e646fae89.147.12,Masters are not experts because they take a subject to its conceptual end. They're masters because they realize that there isn't one.,Why isn't their a conceptual end?,Why isn't there a conceptual end?,2.6666666666666665,6,"[1.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.816496580927726
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.15,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.15,"Now it occurred to me, as I thought about this, why the archery coach told me at the end of that practice, out of earshot of his archers, that he and his colleagues never feel they can do enough for their team,",Why did his coach tell him that?,What does this story have to do with anything?,0.8571428571428571,7,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.37796447300922725
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.15,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.15,"Now it occurred to me, as I thought about this, why the archery coach told me at the end of that practice, out of earshot of his archers, that he and his colleagues never feel they can do enough for their team,",Why did his coach tell him that?,What more could they do?,0.6666666666666666,6,"[0.0, 2.0, 0.0, 1.0, 1.0, 0.0]",0.816496580927726
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.15,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.15,"Now it occurred to me, as I thought about this, why the archery coach told me at the end of that practice, out of earshot of his archers, that he and his colleagues never feel they can do enough for their team,",Why did his coach tell him that?,Why tell them out of earshot?,2.0,7,"[2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0]",0.5773502691896257
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.15,1565800206.0862df22ab9f349e12cdff2e646fae89.147.15,"Now it occurred to me, as I thought about this, why the archery coach told me at the end of that practice, out of earshot of his archers, that he and his colleagues never feel they can do enough for their team,",Why did his coach tell him that?,Why was this said out of earshot?,1.2857142857142858,7,"[0.0, 2.0, 1.0, 2.0, 0.0, 2.0, 2.0]",0.9511897312113418
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.18,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.18,"It didn't sound like a complaint, exactly, but just a way to let me know, a kind of tender admission, to remind me that he knew he was giving himself over to a voracious,",Why are there enough visualization techniques.,What does this story have to do with anything?,0.2857142857142857,7,"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]",0.7559289460184545
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.18,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.18,"It didn't sound like a complaint, exactly, but just a way to let me know, a kind of tender admission, to remind me that he knew he was giving himself over to a voracious,",Why are there enough visualization techniques.,how did that make you feel?,0.3333333333333333,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",0.816496580927726
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.18,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.18,"It didn't sound like a complaint, exactly, but just a way to let me know, a kind of tender admission, to remind me that he knew he was giving himself over to a voracious,",Why are there enough visualization techniques.,He is giving himself to what?,0.5,6,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]",0.5477225575051661
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.18,1565800206.0862df22ab9f349e12cdff2e646fae89.147.18,"It didn't sound like a complaint, exactly, but just a way to let me know, a kind of tender admission, to remind me that he knew he was giving himself over to a voracious,",Why are there enough visualization techniques.,What type of voraciousness is he giving himself over to?,0.3333333333333333,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]",0.816496580927726
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.3,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.3,"We know that we thrive when we stay at our own leading edge, and it's why the deliberate incomplete is inbuilt into creation myths. In Navajo culture, some craftsmen and women would deliberately put an imperfection in textiles and ceramics.",What type of imperfections?,What do the Navajo have to do with anything?,1.1428571428571428,7,"[2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 0.0]",0.8997354108424372
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.3,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.3,"We know that we thrive when we stay at our own leading edge, and it's why the deliberate incomplete is inbuilt into creation myths. In Navajo culture, some craftsmen and women would deliberately put an imperfection in textiles and ceramics.",What type of imperfections?,what type of imperfections?,3.0,7,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",0.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.3,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.3,"We know that we thrive when we stay at our own leading edge, and it's why the deliberate incomplete is inbuilt into creation myths. In Navajo culture, some craftsmen and women would deliberately put an imperfection in textiles and ceramics.",What type of imperfections?,why would they put imperfections in textiles?,1.5714285714285714,7,"[2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0]",0.5345224838248488
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.3,1565800206.0862df22ab9f349e12cdff2e646fae89.147.3,"We know that we thrive when we stay at our own leading edge, and it's why the deliberate incomplete is inbuilt into creation myths. In Navajo culture, some craftsmen and women would deliberately put an imperfection in textiles and ceramics.",What type of imperfections?,Why would people add a deliberate imperfection?,1.75,8,"[3.0, 1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0]",0.8864052604279183
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.6,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.6,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work.",What does it mean for the worker to have a way out?,What else does it do?,1.1428571428571428,7,"[0.0, 1.0, 0.0, 1.0, 3.0, 2.0, 1.0]",1.0690449676496976
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.6,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.6,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work.",What does it mean for the worker to have a way out?,do they come back to fix the flaw?,1.1428571428571428,7,"[2.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0]",0.8997354108424372
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.6,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.6,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work.",What does it mean for the worker to have a way out?,is weaving a bad job?,0.6666666666666666,6,"[0.0, 1.0, 0.0, 0.0, 3.0, 0.0]",1.2110601416389968
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.6,1565800206.0862df22ab9f349e12cdff2e646fae89.147.6,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work.",What does it mean for the worker to have a way out?,Why do they need a way out?,2.5,6,"[2.0, 3.0, 1.0, 3.0, 3.0, 3.0]",0.8366600265340756
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.9,1565644154.fcc2bb78378e99b452bd11c236f51d45.147.9,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work. Masters are not experts because they take a subject to its conceptual end.",Why are masters experts?,Why are masters experts?,2.7142857142857144,7,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0]",0.7559289460184545
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.9,1565647882.e24e9c2d9be24643e97fc61a57775ee7.147.9,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work. Masters are not experts because they take a subject to its conceptual end.",Why are masters experts?,Why are they masters?,1.8333333333333333,6,"[1.0, 2.0, 3.0, 1.0, 2.0, 2.0]",0.752772652709081
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.147.9,1565670861.b3a353e34ff65fab345d6b11394d96b4.147.9,"It's what's called a spirit line, a deliberate flaw in the pattern to give the weaver or maker a way out, but also a reason to continue making work. Masters are not experts because they take a subject to its conceptual end.",Why are masters experts?,what is a conceptual end?,0.16666666666666666,6,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.408248290463863
