id,excerpt_number,chunk_number,worker,type,content,wh_type,answered,highlight,prior_question,best_answer,coherence,naturalness,comment,relatedness,source,chunk_start,chunk_end,highlight_start,highlight_end
1565638102.f97d405b607c9aca212d884d340cb014.10.12,1,4,Solomon,question,Does she want to live a more primal life?,aux,2.0,"In most of our minds, the vagabond is a creature",,1565638102.f97d405b607c9aca212d884d340cb014.10.13,,,,1.0238095238095235,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1017.0,1102.0,1038.0,1086.0
1565638102.f97d405b607c9aca212d884d340cb014.10.13,1,5,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1102.0,1360.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.14,1,5,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1102.0,1360.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.15,1,5,Solomon,question,Did she want to live in olden times?,aux,2.0,old black and white image of a weathered old man,,1565638102.f97d405b607c9aca212d884d340cb014.10.16,,,,0.8214285714285714,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1102.0,1360.0,1133.0,1181.0
1565638102.f97d405b607c9aca212d884d340cb014.10.16,1,6,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1360.0,1514.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.17,1,6,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1360.0,1514.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.18,1,6,Solomon,question,Does she want to experience life the way we used to?,aux,2.0,"their predecessors, today's nomads travel the steel and asphalt",,1565638102.f97d405b607c9aca212d884d340cb014.10.19,,,,0.6,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1360.0,1514.0,1419.0,1482.0
1565638102.f97d405b607c9aca212d884d340cb014.10.19,1,7,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.18'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1514.0,1758.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.20,1,7,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.10.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,1514.0,1758.0,,
1565638102.f97d405b607c9aca212d884d340cb014.10.21,1,0,Solomon,evaluation,,,,,,,3.0,4.0,,,Ted-MDB-Annotations/English/raw/01/talk_2009_en.txt,61.0,1514.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.0,2,0,Solomon,question,Is there more to map?,aux,3.0,we tend to think about roads and streets,,1565638102.f97d405b607c9aca212d884d340cb014.35.1,,,,1.3452380952380951,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,92.0,241.0,128.0,168.0
1565638102.f97d405b607c9aca212d884d340cb014.35.1,2,1,Solomon,answer,There's more to map.,,3.0,but there's other ways to think about mapping cities,['1565638102.f97d405b607c9aca212d884d340cb014.35.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,241.0,431.0,304.0,356.0
1565638102.f97d405b607c9aca212d884d340cb014.35.3,2,1,Solomon,question,What is the new map?,what,3.0,I want to show you a new kind,,1565638102.f97d405b607c9aca212d884d340cb014.35.4,,,,2.666666666666667,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,241.0,431.0,393.0,422.0
1565638102.f97d405b607c9aca212d884d340cb014.35.4,2,2,Solomon,answer,Relationships.,,3.0,relationships,['1565638102.f97d405b607c9aca212d884d340cb014.35.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,431.0,614.0,482.0,495.0
1565638102.f97d405b607c9aca212d884d340cb014.35.6,2,2,Solomon,question,How can you map people?,how,3.0,each dot represents a person,,1565638102.f97d405b607c9aca212d884d340cb014.35.7,,,,1.2142857142857142,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,431.0,614.0,584.0,612.0
1565638102.f97d405b607c9aca212d884d340cb014.35.7,2,3,Solomon,answer,Connecting them through relationships.,,3.0,color represents a community within the network,['1565638102.f97d405b607c9aca212d884d340cb014.35.6'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,614.0,846.0,681.0,728.0
1565638102.f97d405b607c9aca212d884d340cb014.35.9,2,3,Solomon,question,How would it look?,how,2.0,I'm here on the green side,,1565638102.f97d405b607c9aca212d884d340cb014.35.10,,,,0.6666666666666667,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,614.0,846.0,735.0,761.0
1565638102.f97d405b607c9aca212d884d340cb014.35.10,2,4,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,846.0,1147.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.12,2,4,Solomon,question,Is the city segregated?,aux,2.0,primarily African-American and Latino folks,,1565638102.f97d405b607c9aca212d884d340cb014.35.13,,,,1.0446428571428572,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,846.0,1147.0,913.0,956.0
1565638102.f97d405b607c9aca212d884d340cb014.35.13,2,5,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1147.0,1339.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.14,2,5,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1147.0,1339.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.15,2,5,Solomon,question,Are people isolated?,aux,2.0,same people over and over,,1565638102.f97d405b607c9aca212d884d340cb014.35.16,,,,0.3333333333333333,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1147.0,1339.0,1220.0,1245.0
1565638102.f97d405b607c9aca212d884d340cb014.35.16,2,6,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1339.0,1553.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.17,2,6,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1339.0,1553.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.18,2,6,Solomon,question,Are they segregated by interests?,aux,2.0,folks who are interested in things like hip-hop,,1565638102.f97d405b607c9aca212d884d340cb014.35.19,,,,0.8888888888888888,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1339.0,1553.0,1381.0,1428.0
1565638102.f97d405b607c9aca212d884d340cb014.35.19,2,7,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.18'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1553.0,1763.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.20,2,7,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.35.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,1553.0,1763.0,,
1565638102.f97d405b607c9aca212d884d340cb014.35.21,2,0,Solomon,evaluation,,,,,,,2.0,4.0,,,Ted-MDB-Annotations/English/raw/01/talk_2150_en_inter.txt,92.0,1553.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.0,5,0,Solomon,question,What's an institutional investor?,unknown,1.0,institutional investors,,1565638102.f97d405b607c9aca212d884d340cb014.62.1,,,,1.5,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7331.0,7496.0,7335.0,7358.0
1565638102.f97d405b607c9aca212d884d340cb014.62.1,5,1,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7496.0,7578.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.3,5,1,Solomon,question,Did they make the money in the stock market?,aux,1.0,global stock market,,1565638102.f97d405b607c9aca212d884d340cb014.62.4,,,,1.3333333333333337,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7496.0,7578.0,7528.0,7547.0
1565638102.f97d405b607c9aca212d884d340cb014.62.4,5,2,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7578.0,7645.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.5,5,2,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7578.0,7645.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.6,5,2,Solomon,question,What's a global bond market?,unknown,1.0,global bond market,,1565638102.f97d405b607c9aca212d884d340cb014.62.7,,,,1.0714285714285714,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7578.0,7645.0,7582.0,7600.0
1565638102.f97d405b607c9aca212d884d340cb014.62.7,5,3,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.6'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7645.0,7771.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.8,5,3,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7645.0,7771.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.9,5,3,Solomon,question,Is the US the world's largest economy?,aux,1.0,That's the world's largest economy,,1565638102.f97d405b607c9aca212d884d340cb014.62.10,,,,0.4166666666666666,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7645.0,7771.0,7695.0,7729.0
1565638102.f97d405b607c9aca212d884d340cb014.62.10,5,4,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7771.0,7942.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.11,5,4,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.6'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7771.0,7942.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.12,5,4,Solomon,question,What's ESG?,unknown,1.0,ESG,,1565638102.f97d405b607c9aca212d884d340cb014.62.13,,,,1.5,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7771.0,7942.0,7921.0,7924.0
1565638102.f97d405b607c9aca212d884d340cb014.62.13,5,5,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7942.0,8234.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.14,5,5,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7942.0,8234.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.15,5,5,Solomon,question,Is the world in danger of these challenges?,aux,2.0,hardest at solving these challenges,,1565638102.f97d405b607c9aca212d884d340cb014.62.16,,,,1.7142857142857144,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7942.0,8234.0,8034.0,8069.0
1565638102.f97d405b607c9aca212d884d340cb014.62.16,5,6,Solomon,non-answer,,,2.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,8234.0,8406.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.17,5,6,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,8234.0,8406.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.18,5,6,Solomon,question,Is this risk actually overstated?,aux,1.0,"sustainability risk stuff is exaggerated, overstated",,1565638102.f97d405b607c9aca212d884d340cb014.62.19,,,,2.2,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,8234.0,8406.0,8335.0,8387.0
1565638102.f97d405b607c9aca212d884d340cb014.62.19,5,7,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.18'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,8406.0,8591.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.20,5,7,Solomon,non-answer,,,1.0,,['1565638102.f97d405b607c9aca212d884d340cb014.62.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,8406.0,8591.0,,
1565638102.f97d405b607c9aca212d884d340cb014.62.21,5,0,Solomon,evaluation,,,,,,,2.0,4.0,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,7331.0,8406.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.0,1,0,Walton,question,Why do you call it a flower pedal sharshade?,why,3.0,flower petal starshade,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.1,,,,0.5178571428571429,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,3974.0,4239.0,4215.0,4237.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.1,1,1,Walton,answer,If they make the pedals right it gives them a shadow.,,3.0,now we have a great shadow,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4239.0,4378.0,4350.0,4376.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.3,1,1,Walton,question,How do you make the edges of the petal exactly right?,how,1.0,edges of those petals exactly right,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.4,,,,0.6488095238095237,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4239.0,4378.0,4254.0,4289.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.4,1,2,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4378.0,4534.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.6,1,2,Walton,question,Why does it have to be bigger than a thumb?,why,3.0,bigger than my thumb,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.7,,,,1.7142857142857144,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4378.0,4534.0,4512.0,4532.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.7,1,3,Walton,answer,If it holds right in the shadows you can see the planets.,,3.0,and then we can see those planets,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.6'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4534.0,4728.0,4693.0,4726.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.8,1,3,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4534.0,4728.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.9,1,3,Walton,question,Why is it the size of half a football field?,why,1.0,half a football field,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.10,,,,0.6785714285714286,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4534.0,4728.0,4570.0,4591.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.10,1,4,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4728.0,4910.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.12,1,4,Walton,question,Why does it start wrapped around a hub?,why,3.0,It starts wrapped around a hub,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.13,,,,1.0416666666666667,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4728.0,4910.0,4878.0,4908.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.13,1,5,Walton,answer,It unfurls and the telescope turns around.,,3.0,the telescope turns around,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4910.0,5004.0,4976.0,5002.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.14,1,5,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4910.0,5004.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.15,1,5,Walton,question,Why do the petals unfurl?,why,1.0,The petals unfurl,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.16,,,,0.90625,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,4910.0,5004.0,4943.0,4960.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.16,1,6,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,5004.0,5172.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.18,1,6,Walton,question,Why does it flip?,why,1.0,see it flip,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.19,,,,0.8392857142857143,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,5004.0,5172.0,5016.0,5027.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.19,1,7,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.18'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,5172.0,5234.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.20,1,7,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,5172.0,5234.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.25.21,1,0,Walton,evaluation,,,,,,,5.0,5.0,It seems like natural talk.,,Ted-MDB-Annotations/English/raw/01/talk_1976_en.txt,3974.0,5172.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.0,2,0,Walton,question,Why does governance relate to oversight?,why,3.0,governance relates to the oversight,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.1,,,,1.1651785714285714,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2002.0,2415.0,2287.0,2322.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.1,2,1,Walton,answer,Because governance is the measure of sustainability.,,3.0,ESG is the measure of sustainability,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.0'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2415.0,2730.0,2419.0,2455.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.3,2,1,Walton,question,Why is does sustainability help outcomes?,why,3.0,productive,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.4,,,,0.7023809523809523,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2415.0,2730.0,2693.0,2703.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.4,2,2,Walton,answer,The private sector is paying attention.,,3.0,private sector paying attention?,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.3'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2730.0,2907.0,2823.0,2855.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.6,2,2,Walton,question,Why do CEO's care?,why,5.0,CEOs are,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.7,,,,1.53125,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2730.0,2907.0,2897.0,2905.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.7,2,3,Walton,answer,They see it as crucial to success.,,5.0,crucial to business success,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.6'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2907.0,3142.0,2968.0,2995.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.9,2,3,Walton,question,Why do 20 percent of CEOs not see it as a tool?,why,2.0,80 percent,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.10,,,,0.7202380952380952,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2907.0,3142.0,3003.0,3013.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.10,2,4,Walton,non-answer,,,2.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3142.0,3261.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.12,2,4,Walton,question,Why is ESG the future but not the present?,why,2.0,see ESG as the future,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.13,,,,0.9523809523809524,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3142.0,3261.0,3157.0,3178.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.13,2,5,Walton,non-answer,,,2.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3261.0,3388.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.14,2,5,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.9'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3261.0,3388.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.15,2,5,Walton,question,How are they using ESG to get results?,how,4.0,leveraging ESG to drive hard business results?,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.20,,,,2.041666666666667,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3261.0,3388.0,3341.0,3387.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.16,2,6,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3388.0,3532.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.17,2,6,Walton,non-answer,,,1.0,,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.12'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3388.0,3532.0,,
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.18,2,6,Walton,question,What does it mean to migrate applications to the cloud?,what,5.0,applications to the cloud environment,,1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.19,,,,1.1047619047619048,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3388.0,3532.0,3466.0,3503.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.19,2,7,Walton,answer,They virtualized portions of their work.,,5.0,virtualized our operating system environments,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.18'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3532.0,3800.0,3535.0,3580.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.20,2,7,Walton,answer,They used it to save 23 million dollars annually.,,4.0,savings of 23 million dollars,['1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.15'],,,,,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,3532.0,3800.0,3741.0,3770.0
1565644082.4baa50cce0cddb3d28b34898a42fd3bd.50.21,2,0,Walton,evaluation,,,,,,,5.0,4.0,Seems clear to me.,,Ted-MDB-Annotations/English/raw/01/talk_1927_en.txt,2002.0,3532.0,,
